Requirement ID,Requirement Name,Requirement Type,Requirement Source,Priority Level,Potential Risks,Requirement Status,Requirement Owner,Acceptance Criteria,Test Cases,Objectives and Goals,Requested By,Position,Dept.
FR-A, Support campus SSO (OIDC/SAML) with local fallback.,Functional,Documentation,High,,In Progress,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Multi-factor authentication optional.,Functional,Documentation,Low,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Role-based access control; assign multiple roles to an account.,Functional,Documentation,Medium,,Completed,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
FR-B," Student can create and edit a rich profile (personal, academics, projects, links).",Functional,Documentation,High,,Completed,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Resume upload (PDF/DOCX); store multiple versions; preserve original file and parsed JSON.,Functional,Documentation,High,,In Progress,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Canonical parsed resume schema must be produced for each uploaded resume.,Functional,Documentation,High,,Stalled,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
FR-C," Recruiter/TPO can create drives with roles, salary/stipend, location, mode (on-campus/remote), and multi-stage rounds.",Functional,Documentation,High,,Completed,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Eligibility rules engine,Functional,Documentation,High,,Completed,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
," Application windows with capacity, waitlist, and manual overrides.",Functional,Documentation,Medium,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, Stage transitions with feedback capture and timestamps.,Functional,Documentation,Medium,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
," Offer creation, acceptance/rejection, appointment letter generation, and join-status tracking.",Functional,Documentation,Low,,Completed,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
, System provides ranked candidate lists for recruiters based on resume-JD matching score + test scores + configured weights.,Functional,Documentation,High,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
FR-D, Recruiter can enable anonymized (blind) shortlists.,Functional,Documentation,Medium,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
," In-app + email + configurable SMS for critical events (drive posted, shortlisted, interview scheduled, offer).",Functional,Documentation,High,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
FR-E, Notification preferences per user.,Functional,Documentation,Medium,,Not Started,Project Lead,,,,Ahmed Hakeem,Project Lead,CSE
